Enrolled,Entry Semester,Citizenship Status,Continent,Country,Program 1 Category,Degree Type,Degree 1,Dual Degree,Campus Tour,Open House,Spring Preview,President's Reception,Virtual Call
1,Fall 2023,US,North America,United States,Botany,Master's,MS in Botany,1,0,0,0,0,0
1,Fall 2023,US,North America,United States,Botany,Master's,MS in Botany,1,0,0,0,0,0
1,Fall 2023,US,North America,United States,Botany,PhD,PhD in Botany,1,0,0,1,0,0
0,Fall 2023,FN,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,1,1,0,0,0
0,Fall 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,1,0,0,1,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
1,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,FN,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
1,Summer 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Spring 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
0,Fall 2023,FN,Africa,The Gambia,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,1
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Kenya,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
0,Fall 2023,PR,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,1,1,0
1,Fall 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,1,0,1
0,Fall 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Spring 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
1,Fall 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,1,1,0,0,0,1
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Asia,Iran,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,1,1
0,Fall 2023,FN,Asia,China,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Spring 2023,FN,Africa,The Gambia,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,1,1,1
0,Fall 2023,FN,Africa,Kenya,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,1,0,0
0,Fall 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,1,0,0
1,Spring 2023,FN,Asia,Japan,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Spring 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
1,Spring 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Spring 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
1,Fall 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Summer 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Summer 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
1,Fall 2023,FN,Europe,United Kingdom,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Summer 2023,US,North America,United States,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,1,0
0,Fall 2023,FN,Africa,Zimbabwe,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Spring 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,1,1,1
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Spring 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
1,Fall 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Spring 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Spring 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
1,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Spring 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Summer 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Spring 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Spring 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Summer 2023,FN,Asia,India,CISAT,Master's,MS in Information Systems & Technology,0,0,0,0,0,0
0,Fall 2023,FN,Africa,Uganda,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Nigeria,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,0
0,Fall 2023,FN,Africa,Ghana,CISAT,Master's,MS in Information Systems & Technology,1,0,0,0,0,1
